Designator,Mid X,Mid Y,Rotation,Layer
A1,113.635,-71.929182,0.0,top
A2,113.525,-96.51,0.0,top
A3,113.525,-121.17,0.0,top
A4,150.875,-77.13,270.0,top
A5,175.515,-77.13,270.0,top
A6,200.125,-77.13,270.0,top
C1,101.125,-78.089182,90.0,top
C10,163.275,-64.5,90.0,top
C11,187.775,-64.5,90.0,top
C12,212.775,-64.5,90.0,top
C13,127.775,-126.0,90.0,top
C14,209.725,-92.75,270.0,top
C2,100.875,-102.67,90.0,top
C3,100.875,-127.33,90.0,top
C4,144.715,-64.12,0.0,top
C5,169.355,-64.12,0.0,top
C6,193.965,-64.12,0.0,top
C7,101.255,-59.62,180.0,top
C8,101.255,-84.37,180.0,top
C9,101.255,-109.12,180.0,top
J1,101.125,-66.989182,90.0,top
J11,187.775,-110.27,90.0,top
J12,187.775,-116.77,90.0,top
J13,187.775,-123.27,90.0,top
J14,187.775,-129.77,90.0,top
J15,187.775,-103.77,90.0,top
J16,187.775,-97.27,90.0,top
J17,200.505,-99.0,0.0,top
J18,177.005,-130.0,0.0,top
J2,101.125,-91.68,90.0,top
J3,101.125,-116.38,90.0,top
J4,155.685,-64.37,0.0,top
J5,180.315,-64.37,0.0,top
J6,205.065,-64.37,0.0,top
J7,210.275,-106.0,90.0,top
J8,210.4475,-119.5,90.0,top
R1,177.05,-107.0,180.0,top
R2,136.625,-81.345,270.0,top
R3,133.125,-81.345,270.0,top
R4,129.625,-81.345,270.0,top
R5,177.05,-112.0,180.0,top
R6,177.05,-117.0,180.0,top
R7,177.05,-122.0,180.0,top
R8,177.5,-102.0,0.0,top
R9,177.5,-97.0,0.0,top
SW1,133.465,-69.19,180.0,top
U2,145.275,-111.96,0.0,top
