Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2, A3, A4, A5, A6",Pololu_Breakout-16_15.2x20.3mm,6,Pololu_Breakout_A4988,
"C1, C14, C2, C3, C4, C5, C6",C_Radial_D8.0mm_H11.5mm_P3.50mm,7,33uF,
"C10, C11, C12, C13, C7, C8, C9",C_Disc_D4.3mm_W1.9mm_P5.00mm,7,100nF,
"J1, J2, J3, J4, J5, J6",Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,6,Conn_01x04_Pin,
"J11, J12, J13, J14, J15, J16, J17, J18",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,8,Molex_01x02_Socket,
J7,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,12V Power Input,
J8,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Fan Screw Terminal,
"R1, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,9,R22k,
SW1,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,1,SW_DIP_x04,
U2,esp32-mystery-footprint,1,~,
